"Nombre","Telefono","Dirección","Latitud","Longitud","Pagina Web","Correo Electronico","Descripcion","Actividad","Sub actividad"
"Compostela - Número 11","981562352","Aller Ulloa, 4-6 - 15703","42.8816118240058","-8.54025055174793","","","Lotería Nacional, Primitiva, Bonoloto, Euromillones, El Gordo, La Quiniela, Lototurf, Lotería de Navidad, Lotería del Niño, Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Cortizo - Número 8","981596381","República de El Salvador, 22 bajo - 15701","42.8745291984726","-8.5478863120079","","loteriacortizo@gmail.com","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Duende Azul","981570881","Concheiros, 29 - 15704","42.8838088172896","-8.53422936867196","","","Revistas, librería, sellado de quinielas, artículos de regalo... ","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"El Filón de Oro","981599108","Rosa, 26 Bajo - 15701","42.8719423559027","-8.54722380638123","","","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Gigirey","981574383","Mallou, 11 - 15703","42.8975553765288","-8.52818414568901","https://www.facebook.com/Bar-Gigirey-1006370506092800","","Café-bar, sellado de quinielas. Terraza. Los viernes tenemos un pulpeiro.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"La Romería - Número 6","981562588","Pza. de Cervantes, 23 - 15704","42.8812257864109","-8.5423555970192","","","Venta de loterías y sellado de quinielas. Euromillones, Primitiva, Bonoloto, Lotería Nacional.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"La Suerte de Compostela","881039059","Aeropuerto de Lavacolla, s/n Pl. 1. Salidas. - 15820","42.8913646134765","-8.42122435569763","http://www.lasuertedelpasajero.es","lae15@lasuertedelpasajero.es","Administración número 15 que ofrece jugar en los nueve juegos estatales.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Liñares","981583027","Bispo Diego Peláez, 1 - 15705","42.8921938836155","-8.54456841945648","","","Sellado de Loterías y Apuestas del Estado","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 1","981580225","Fonte de Santo Antonio, 19 - 15702","42.8770943114242","-8.54348480701447","","cachedaloto@hotmail.ocm","Administración de loterías y expendeduría de tabaco.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 13","981530418","Avda. de Ferrol, 46 Bajo - CONXO - 15706","42.867668717366","-8.55518996715546","","","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 14","981531759","Restollal, 50 (C.Cial. Compostela, Stno. 1) - 15702","42.8628325045792","-8.54235291481018","","info@la14desantiago.es","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 3","981585683","Rúa do Vilar, 85 Bajo - 15705","42.8774023799665","-8.54568353372952","http://www.loteriacompostela.es","","Venta de lotería y juegos del estado a nuestro público de Compostela, a los turistas y a los peregrinos, desde hace más de 50 años.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 30","981525762","Sánchez Freire, 90 Bajo - CONXO - 15706","42.8645852199667","-8.55560486671425","","","Artículos de fumador. Administración de loterías.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Número 7","981582820","C. Cial. Área Central, Pl. Baja Loc. 18-D-2 - FONTIÑAS - 15707","42.8829769608791","-8.52880239486694","","","Lotería Nacional, Primitiva. Bonoloto, Euromillones, El Gordo, La Quiniela, Lototurf, Lotería de Navidad, Lotería del Niño, Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Paz Nogueira","981594799","Castiñeiriño, 20 Bajo - 15702","42.8600623242487","-8.54065775871277","","estancopaznogueira@hotmail.com","Prensa. Administración de loterias y estanco.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Pichita","981583038","Santa Clara, 18 Bajo - 15704","42.8860585927749","-8.54079723358154","http://www.loteriapichita.es","","Administración nº 10. Vendiendo ilusión a través de los juegos, compra desde tu casa.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Pico Sacro","981584640","San Francisco, 10 - 15705","42.8820748469061","-8.54536235332489","","info@hotelpicasacro.com","Cafetería. Sellado de loterías.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Reina - Número 9","981598922","Santiago de Chile, 14 - 15706","42.8723296029146","-8.55070263147354","","","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Reyva","981576708","Galeras, s/n - 15705","42.8827279386231","-8.54848970304101","","","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"Venecia","981572265","Hórreo, 27 Bajo - 15702","42.8751774812702","-8.54419187483404","","","Lotería Nacional. Primitiva. Bonoloto. Euromillones. El Gordo. La Quiniela. Lototurf. Lotería de Navidad. Lotería del Niño. Lotería de Reyes.","Administración Santiago de Compostela ","Loterías y apuestas del estado, administraciones de loterías Santiago de Compostela"
"ADEGA - Asociación para a Defensa Ecolóxica de Galicia","981570099","Trva. dos Basquiños, 9 Bajo - 15704","42.8866892084574","-8.53872049570077","http://www.adega.gal","adega@adega.gal","Convervación e biodiversidade, contaminación, residuos, enerxía, cambio climático, medio rural, montes, territorio, urbanismo, cultura, patrimonio, auga, ríos..","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Centro de Interpretación Ambiental ","981543145","Camiño Ameixaga, 13 - 15703","42.8752045926925","-8.53842566663093","","","","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Instituto de Investigaciones Agrobiológicas de Galicia – CSIC","981590958","Avda. de Vigo, s/n - 15705","42.8757723849516","-8.5522949838936","http://www.iiag.csic.es","","Tiene con principal objetivo realizar investigaciones científicas y técnicas en el ámbito agro-forestal, estudiando principalmente el suelo y la planta.","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Instituto Geológico y Minero de España – IGME","981562285","Cardeal Payá, 18 1º - 15703","42.8779689807343","-8.54268282651901","http://www.igme.es","","El Instituto Geológico y Minero de España es un Organismo Público de Investigación, con carácter de organismo autónomo.","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Meteogalicia - Unidade de Observación e Predicción Meteorolóxica","881999654","Roma, 6 - FONTIÑAS - 15707","42.8865341880668","-8.52112054824829","http://www.meteogalicia.es","","Predicciones meteorológicas, observaciones, modelos numéricos, calidad del aire, formación-Meteoescolas, informes climatológicos, publicaciones...","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Observatorio Astronómico Ramón María Aller","881815016","Avda. das Ciencias, s/n - CAMPUS VIDA - 15705","42.875853073837","-8.55534299140163","http://www.usc.es/astro","","","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Observatorio Geofísico - Instituto Geográfico Nacional","981585392","Cuesta de Santa Isabel, s/n - 15705","42.8863425747023","-8.55196863412857","","","","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Oficina Meteorolóxica do Aeroporto de Santiago","981599160","Aeropuerto de Lavacolla, s/n - 15820","42.8913646134765","-8.42122435569763","","","","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Verdegaia","622033665","","42.8719973962352","-8.55160385370255","http://www.verdegaia.org","","Asociación ecoloxista galega sen ánimo de lucro, constituída co obxecto de contribuír desde Galiza para a defensa do medio ambiente, sensibilización social, etc","Administración Santiago de Compostela ","Medio ambiente instituciones Santiago de Compostela"
"Aeródromo Militar de Santiago de Compostela","981509520","Lavacolla, (al lado del aeropuerto) - 18820","42.9012973595629","-8.42370266455691","","","","Administración Santiago de Compostela ","Militar Santiago de Compostela"
"Grupo Parlamentario BNG","981551545","Hórreo, 63 - 15702","42.8729633258125","-8.54465654047544","","gp-bng@parlamentodegalicia.es","","Administración Santiago de Compostela ","Parlamento de Galicia Santiago de Compostela"
"Grupo Parlamentario PP","981551510","Hórreo, 63 - 15702","42.8729633258125","-8.54465654047544","","gp-pp@parlamentodegalicia.es","","Administración Santiago de Compostela ","Parlamento de Galicia Santiago de Compostela"
"Grupo Parlamentario PSdeG - PSOE","981551530","Hórreo, 63 - 15702","42.8729633258125","-8.54465654047544","","gp-socialista@parlamentodegalicia.es","","Administración Santiago de Compostela ","Parlamento de Galicia Santiago de Compostela"
"Parlamento de Galicia","981551300","Hórreo, 63 - 15702","42.8729448685507","-8.54442358016968","http://www.parlamentodegalicia.es","","Sede del Parlamento de Galicia en Santiago de Compostela, constituído por las diputadas y diputados elegidos en sufragio univerval.","Administración Santiago de Compostela ","Parlamento de Galicia Santiago de Compostela"
"Agencia Tributaria (Hacienda) Santiago de Compostela","981584040","Manuel María, 5 - 15705","42.8950942763048","-8.53208541870117","http://www.agenciatributaria.es","","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"CAISS - Centro de Atención e Información de La Seguridad Social ","901166565","Carlos Briones Varela, s/n (esq. Galeras) - 15705","42.8831958746238","-8.54832524536891","http://www.seg-social.es","","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Cámara de Comercio","981596800","San Pedro de Mezonzo, 44 Bajo - 15701","42.87098","-8.54705164418033","http://www.camaracompostela.com","informacion@camaracompostela.com","Cámara oficial de comercio industria y navegación. Asesoramiento laboral, fiscal, jurídico, empresarial, formación comercio exterior, servicio de empresas, etc.","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Guardia Civil de Tráfico","981582266","Doiro, 25 - 15704","42.8907495315031","-8.52421045303345","http://www.dgt.es","","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Policía Nacional - DNI e Pasaportes","981551167","Avda. de Rodrigo de Padrón, 3 - 15705","42.8785841901476","-8.54617238044739","https://www.citapreviadnie.es","","Oficina para la expedición, tramitación y renovación del Documento Nacional de Identidad (DNI) y pasaporte español. ","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Registro de La Propiedad Nº 1","981563380","Pza. Constitución, s/n - 15705","42.8733891140466","-8.54335069656372","http://www.registradores.org","","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Registro de La Propiedad Nº 2","981584646","Pza. Constitución, s/n - 15702","42.8734087708531","-8.54335069656372","http://www.registradores.org","","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
"Registro Mercantil","981561693","Pza. Constitución, s/n - 15702","42.8734176164139","-8.54334801435471","http://www.registradores.org","santiagodecompostela@registromercantil.org","","Administración Santiago de Compostela ","Trámites administrativos más usuales Santiago de Compostela"
